date,publish_date_from_article,sentiment,model,model_version,article_hash,raw_response
2025-04-21,"April 21, 2025, 9:15 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,2df5ae03eb07e6e638be698b20f97ecf,Mixed
2025-04-22,"April 22, 2025, 9:16 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,420d510c053ef407d5aa70daf35b62ac,Mixed
2025-04-23,"April 23, 2025, 9:12 a.m. ET",Bullish,anthropic,claude-3-5-sonnet-20241022,c232970a2c36079c2eaed06e09f4e6e9,Bullish
2025-04-24,"April 24, 2025, 9:05 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,24f10174fff07fa851bcea5162364f19,Mixed
2025-04-25,"April 25, 2025, 9:05 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,5b4a6d7e38ba02217ea854a98d891c66,Mixed
2025-04-28,"April 28, 2025, 9:09 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,b543ddaa4305ea33ae32f3591c8e8e67,Mixed
2025-04-30,"April 30, 2025, 9:18 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,0061a5cd51dedcb3272ea271b429cf64,Mixed
2025-05-01,"May 1, 2025, 9:16 a.m. ET",Mixed,anthropic,claude-3-5-sonnet-20241022,a7284be68a314f836e462a8d923e1d3a,Mixed
2025-05-02,"May 2, 2025, 9:21 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,6e3374494013537d4d002630015afd98,"Mixed. Key indicators include: 1) Positive job growth above expectations, suggesting economic strength, but 2) Diminished rate cut hopes due to steady unemployment, and 3) Trade war concerns with China and Japan's comments about Treasury holdings creating uncertainty."
2025-05-05,"May 5, 2025, 9:22 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,05dfca8efdc36b25927ca80d3c24a4a4,"Mixed. Key indicators include the nine-day winning streak for S&P 500 (bullish), but stocks retreated overnight (bearish), and analysts remain bearish on the economy despite the recent rally (cautious sentiment)."
2025-05-06,"May 6, 2025, 9:17 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,aa249c288fff5bf451cf68b57b2df2f4,"Mixed. Indicators include market decline after nine-session win streak, concerns about trade deals, and mixed performance among Magnificent Seven stocks despite mostly beating expectations."
2025-05-07,"May 7, 2025, 9:11 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,c865fb98ea362438c121a9f4941c3c16,"Bearish. Key indicators: major indexes showing negative values (-0.64%, -0.24%, -0.74%), warnings about potential ""sell on the news"" reaction to trade developments, and analyst reticence about earnings outlook for remainder of year."
2025-05-08,"May 8, 2025, 9:10 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,7f9c7e980e2857195dac20c6fcc37e4d,"Bullish. Key indicators: Trump's hint at lifting chip export restrictions, progress on trade agreements with UK and China, and market's ""risk-on"" sentiment returning to crypto and Magnificent Seven stocks."
2025-05-09,"May 9, 2025, 9:06 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,05ddb1a4bfbf20a9fb6bf28deb3e11a3,"Mixed. Treasury yields leaping, stocks struggling to hold intraday gains, and uncertainty around US-China trade talks with conflicting tariff information creating market volatility."
2025-05-12,"May 12, 2025, 9:19 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,5b5828a08be3deed1855896baf239156,"Bullish. Key indicators: 1) Wall Street ""wears a rally hat"" with 3% overnight surge due to U.S.-China tariff reductions. 2) Technology and chip stocks leading gains with ""risk-on"" sentiment climbing."
2025-05-13,"May 13, 2025, 9:11 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,d7df012929af0d2bd0fbd3e8f6b18e20,"Bullish. Rising major indices (+3.26%, +2.81%, +4.35%), reduced recession odds (35% from 45%), and easing trade tensions with China."
2025-05-14,"May 14, 2025, 9:07 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,bded8d62b21e583e8e16cdab250aced7,"Mixed. Treasury yields rising to one-month highs despite mild CPI, indicating growth hopes but potential inflation concerns. Market rally pushing S&P 500 P/E ratio to 22, suggesting elevated valuations with little risk discount. Earnings season entering final stretch with key companies reporting."
2025-05-15,"May 15, 2025, 9:16 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,206580eeefe1dbf8907d04407d7771fa,"Mixed. Key indicators: S&P 500 slightly up (+0.10%), Dow Jones down (-0.21%), Nasdaq up (+0.72%)."
2025-05-16,"May 16, 2025, 9:12 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,4c75cfd979e7fc259200187601a29484,"Mixed. Key indicators: S&P 500 up 4% for the week showing bullish momentum, but renewed tariff concerns and Walmart price increases signal inflation risks, creating a balanced sentiment picture."
2025-05-19,"May 19, 2025, 9:15 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,59b7c77c106d37337c6a18e8e2bd72d0,"Bearish. Moody's downgrade of U.S. debt, rising Treasury yields (10-year above 4.5%, 30-year above 5%), and falling major indexes and dollar."
2025-05-20,"May 20, 2025, 9:15 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,55110d86ecdbba4fadab623905c08066,"Mixed. Key indicators: S&P 500 posted sixth straight higher close (+0.09%), but tech stocks underperforming, and concerns about tariff impacts on inflation despite recent benign data."
2025-05-21,"May 21, 2025, 9:09 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,3ea72b41bbad3fc83920266638a8176a,"Bearish. Rising bond yields, Middle East tensions, and downward revisions to earnings forecasts are creating negative market pressure."
2025-05-22,"May 22, 2025, 9:10 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,85aa3ffca4e2a0f9c79cd1cca074d9b8,"Bearish. Rising Treasury yields, weak bond auction demand, and deficit concerns impacting markets negatively."
2025-05-23,"May 23, 2025, 9:12 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,08ab5d76dbdc92d85234fef41a3fcd56,"Mixed. Key indicators: NASDAQ slightly up (+0.28%), S&P 500 slightly down (-0.04%), and new tariff threats causing pre-market volatility with Treasury yields falling."
2025-05-27,"May 27, 2025, 9:10 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,f75ec3c677aecbf465b39d6d1beeb83b,Mixed. Tariff delay boosting tech stocks but iPhone tariffs still loom. Treasury yields showing volatility with weak auction demand. Consumer confidence remains at historically low levels despite slight expected improvement.
2025-05-28,"May 28, 2025, 9:07 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,55485919bf4c42c7651b67f9430a6e19,"Bullish. Major indices showing significant gains (NASDAQ +2.05%, Dow +1.78%), strong market rally described as ""buy-the-dip mentality is alive and well."""
2025-05-29,"May 29, 2025, 9:16 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,dafd9493d603824a037f9d06e32db3a5,"Bearish. Key indicators: negative GDP growth (-0.2%), major indices showing declines (-0.5% to -0.58%), and rising jobless claims (240,000, above expectations)."
2025-05-30,"May 30, 2025, 9:16 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,1a9d73972734d9c9fa5e8ab7adee5240,"Bullish. Key indicators: positive index values (+0.40%, +0.28%, +0.39%), progress on inflation (PCE as expected), and strong corporate earnings (Ulta Beauty up 9.3%)."
